"ID","NATC","NATC_ID","Type"
967,"Never",1,"Clump"
968,"Continuous",4,"Clump"
969,"Continuous",4,"Clump"
970,"Continuous",4,"No cluster"
971,"Continuous",4,"Clump"
972,"Never",1,"Clump"
973,"Continuous",4,"Clump"
974,"Abandoned",2,"No cluster"
975,"Never",1,"Clump"
976,"Never",1,"Clump"
977,"Abandoned",2,"No cluster"
978,"Continuous",4,"Clump"
979,"Never",1,"Clump"
864,"Abandoned",2,"No cluster"
980,"Continuous",4,"Clump"
981,"Never",1,"Clump"
982,"Never",1,"Clump"
983,"Continuous",4,"Clump"
984,"Continuous",4,"Cluster"
985,"Continuous",4,"Clump"
986,"Continuous",4,"Clump"
987,"Transformed",3,"No cluster"
988,"Never",1,"Clump"
988,"Never",1,"Clump"
989,"Never",1,"No cluster"
990,"Never",1,"Clump"
991,"Abandoned",2,"No cluster"
992,"Never",1,"Clump"
993,"Never",1,"No cluster"
994,"Never",1,"Clump"
995,"Never",1,"Clump"
996,"Never",1,"Clump"
997,"Never",1,"Clump"
998,"Never",1,"Clump"
998,"Never",1,"Clump"
999,"Continuous",4,"Clump"
1000,"Never",1,"Clump"
1001,"Continuous",4,"Cluster"
1002,"Abandoned",2,"No cluster"
1003,"Never",1,"Clump"
1004,"Never",1,"Clump"
1005,"Never",1,"Clump"
1006,"Never",1,"Clump"
1007,"Never",1,"Clump"
1008,"Never",1,"No cluster"
1009,"Never",1,"Clump"
1010,"Continuous",4,"Clump"
1011,"Continuous",4,"Clump"
1012,"Continuous",4,"Clump"
1013,"Never",1,"Clump"
1014,"Continuous",4,"Clump"
1015,"Continuous",4,"Clump"
1016,"Continuous",4,"Clump"
1017,"Continuous",4,"Cluster"
1018,"Continuous",4,"Cluster"
1019,"Continuous",4,"Clump"
1020,"Continuous",4,"Clump"
1003,"Never",1,"Clump"
494,"Never",1,"Clump"
494,"Never",1,"Clump"
1022,"Continuous",4,"Clump"
494,"Never",1,"Clump"
1021,"Never",1,"Clump"
1023,"Never",1,"Clump"
1024,"Never",1,"No cluster"
1025,"Never",1,"Clump"
494,"Never",1,"No cluster"
494,"Never",1,"Clump"
1026,"Never",1,"Clump"
1027,"Never",1,"Clump"
1028,"Never",1,"Clump"
1029,"Never",1,"Clump"
1030,"Never",1,"Clump"
1031,"Never",1,"Cluster"
1039,"Abandoned",2,"No cluster"
1032,"Continuous",4,"Clump"
1033,"Never",1,"Cluster"
1034,"Never",1,"Cluster"
1035,"Never",1,"Cluster"
1036,"Transformed",3,"No cluster"
1037,"Never",1,"No cluster"
1038,"Continuous",4,"No cluster"
1040,"Transformed",3,"No cluster"
1041,"Continuous",4,"No cluster"
1042,"Abandoned",2,"No cluster"
1043,"Abandoned",2,"No cluster"
1044,"Abandoned",2,"No cluster"
1045,"Abandoned",2,"No cluster"
1046,"Abandoned",2,"No cluster"
1047,"Never",1,"Clump"
1048,"Never",1,"Clump"
1049,"Never",1,"Cluster"
1050,"Never",1,"No cluster"
1051,"Abandoned",2,"No cluster"
1052,"Never",1,"Clump"
1053,"Continuous",4,"Clump"
1054,"Continuous",4,"Cluster"
1055,"Continuous",4,"Clump"
494,"Never",1,"Clump"
494,"Never",1,"Cluster"
494,"Never",1,"Clump"
1056,"Never",1,"No cluster"
1057,"Never",1,"Cluster"
1058,"Never",1,"No cluster"
1059,"Continuous",4,"Cluster"
1060,"Transformed",3,"No cluster"
1061,"Abandoned",2,"No cluster"
1062,"Continuous",4,"Clump"
1063,"Abandoned",2,"No cluster"
1064,"Continuous",4,"Clump"
1065,"Transformed",3,"No cluster"
1066,"Continuous",4,"Clump"
1067,"Abandoned",2,"No cluster"
1068,"Continuous",4,"Clump"
1069,"Continuous",4,"Clump"
1070,"Transformed",3,"No cluster"
1071,"Transformed",3,"No cluster"
1072,"Transformed",3,"No cluster"
1073,"Transformed",3,"No cluster"
1074,"Continuous",4,"Clump"
1075,"Transformed",3,"No cluster"
1076,"Continuous",4,"Clump"
1077,"Continuous",4,"Clump"
1078,"Abandoned",2,"No cluster"
1079,"Never",1,"Clump"
1080,"Never",1,"Clump"
1081,"Abandoned",2,"No cluster"
1082,"Never",1,"Clump"
1083,"Continuous",4,"Clump"
1084,"Continuous",4,"Cluster"
1085,"Continuous",4,"Clump"
1086,"Continuous",4,"Cluster"
1087,"Continuous",4,"Clump"
1088,"Transformed",3,"No cluster"
1089,"Never",1,"No cluster"
1090,"Never",1,"Clump"
1091,"Never",1,"No cluster"
1092,"Transformed",3,"No cluster"
1093,"Continuous",4,"Cluster"
1094,"Continuous",4,"Cluster"
1095,"Never",1,"Clump"
1096,"Continuous",4,"Clump"
1097,"Continuous",4,"Cluster"
1098,"Continuous",4,"Clump"
1099,"Never",1,"Cluster"
1100,"Transformed",3,"No cluster"
1101,"Never",1,"Clump"
1102,"Transformed",3,"No cluster"
1103,"Transformed",3,"No cluster"
1104,"Never",1,"Clump"
1105,"Transformed",3,"No cluster"
1106,"Never",1,"No cluster"
1107,"Never",1,"Clump"
1108,"Never",1,"No cluster"
1109,"Transformed",3,"No cluster"
1110,"Never",1,"No cluster"
1111,"Never",1,"Clump"
1112,"Continuous",4,"Cluster"
1113,"Never",1,"No cluster"
1114,"Never",1,"Clump"
1114,"Never",1,"Clump"
1114,"Never",1,"Clump"
1115,"Continuous",4,"Clump"
1116,"Continuous",4,"Clump"
1117,"Continuous",4,"Clump"
1118,"Continuous",4,"Clump"
1114,"Never",1,"Clump"
1119,"Abandoned",2,"No cluster"
1120,"Abandoned",2,"No cluster"
1114,"Never",1,"No cluster"
1121,"Abandoned",2,"No cluster"
1122,"Continuous",4,"Clump"
1123,"Continuous",4,"Clump"
1124,"Continuous",4,"Cluster"
1125,"Transformed",3,"No cluster"
1126,"Continuous",4,"Clump"
1127,"Continuous",4,"Clump"
1128,"Continuous",4,"Clump"
1129,"Abandoned",2,"No cluster"
1130,"Continuous",4,"Clump"
1131,"Abandoned",2,"No cluster"
1132,"Abandoned",2,"No cluster"
1114,"Never",1,"Clump"
1133,"Abandoned",2,"No cluster"
1136,"Transformed",3,"No cluster"
1140,"Continuous",4,"Clump"
1141,"Abandoned",2,"No cluster"
1142,"Abandoned",2,"No cluster"
1143,"Abandoned",2,"No cluster"
1144,"Continuous",4,"Clump"
1145,"Never",1,"Cluster"
1146,"Never",1,"Clump"
1147,"Never",1,"Cluster"
1148,"Never",1,"Cluster"
1145,"Never",1,"No cluster"
1149,"Never",1,"No cluster"
1150,"Continuous",4,"Clump"
1151,"Transformed",3,"No cluster"
1152,"Never",1,"No cluster"
1145,"Never",1,"No cluster"
1153,"Continuous",4,"Clump"
1154,"Abandoned",2,"No cluster"
1155,"Never",1,"No cluster"
1156,"Continuous",4,"Clump"
1157,"Abandoned",2,"No cluster"
1158,"Never",1,"No cluster"
1159,"Continuous",4,"Clump"
1160,"Continuous",4,"Clump"
1161,"Continuous",4,"Clump"
1162,"Abandoned",2,"No cluster"
1145,"Never",1,"Clump"
1163,"Transformed",3,"No cluster"
1164,"Transformed",3,"No cluster"
1165,"Never",1,"Dispersed"
1166,"Never",1,"No cluster"
1167,"Never",1,"Clump"
1168,"Never",1,"Clump"
1145,"Never",1,"No cluster"
1169,"Continuous",4,"Clump"
1170,"Never",1,"No cluster"
1171,"Never",1,"No cluster"
1172,"Never",1,"No cluster"
1173,"Never",1,"No cluster"
1174,"Never",1,"No cluster"
1175,"Never",1,"No cluster"
1176,"Transformed",3,"No cluster"
1145,"Never",1,"Clump"
1177,"Continuous",4,"Clump"
1178,"Continuous",4,"Clump"
1179,"Never",1,"No cluster"
1180,"Never",1,"No cluster"
1181,"Never",1,"No cluster"
1182,"Continuous",4,"Clump"
1183,"Continuous",4,"Clump"
1184,"Abandoned",2,"No cluster"
1185,"Continuous",4,"Clump"
1186,"Never",1,"No cluster"
1187,"Abandoned",2,"No cluster"
1188,"Never",1,"No cluster"
1189,"Never",1,"No cluster"
1190,"Abandoned",2,"No cluster"
1191,"Continuous",4,"Clump"
1192,"Continuous",4,"Clump"
1193,"Never",1,"No cluster"
1193,"Never",1,"No cluster"
1194,"Transformed",3,"No cluster"
1145,"Never",1,"Clump"
1195,"Abandoned",2,"No cluster"
1196,"Never",1,"No cluster"
1145,"Never",1,"Clump"
1145,"Never",1,"Clump"
1197,"Continuous",4,"No cluster"
1198,"Abandoned",2,"No cluster"
1199,"Continuous",4,"Clump"
1200,"Never",1,"Clump"
1201,"Continuous",4,"No cluster"
1202,"Abandoned",2,"No cluster"
1203,"Abandoned",2,"No cluster"
1204,"Never",1,"Clump"
1204,"Never",1,"Clump"
1204,"Never",1,"Clump"
1205,"Abandoned",2,"No cluster"
1206,"Abandoned",2,"No cluster"
1207,"Abandoned",2,"No cluster"
1208,"Abandoned",2,"No cluster"
1209,"Abandoned",2,"No cluster"
1210,"Never",1,"Clump"
1211,"Abandoned",2,"No cluster"
1211,"Abandoned",2,"No cluster"
1212,"Never",1,"Clump"
1213,"Never",1,"Clump"
1214,"Abandoned",2,"No cluster"
1215,"Never",1,"Clump"
1216,"Never",1,"Clump"
1217,"Never",1,"Clump"
1218,"Never",1,"Clump"
1219,"Continuous",4,"Clump"
1220,"Abandoned",2,"No cluster"
1221,"Continuous",4,"Clump"
1222,"Abandoned",2,"No cluster"
1223,"Never",1,"Clump"
1145,"Never",1,"Cluster"
1224,"Never",1,"Clump"
1231,"Abandoned",2,"No cluster"
1231,"Abandoned",2,"No cluster"
1232,"Never",1,"Clump"
1233,"Never",1,"Cluster"
1234,"Continuous",4,"Clump"
1145,"Never",1,"Clump"
1235,"Abandoned",2,"No cluster"
1236,"Abandoned",2,"No cluster"
1237,"Transformed",3,"No cluster"
1238,"Abandoned",2,"No cluster"
1239,"Continuous",4,"Clump"
1240,"Continuous",4,"Clump"
1241,"Abandoned",2,"No cluster"
1242,"Abandoned",2,"No cluster"
1243,"Never",1,"Clump"
1244,"Abandoned",2,"No cluster"
1245,"Continuous",4,"Clump"
1246,"Never",1,"Cluster"
1247,"Abandoned",2,"No cluster"
1145,"Never",1,"Cluster"
1248,"Never",1,"Clump"
1249,"Continuous",4,"Clump"
1145,"Never",1,"Cluster"
1250,"Abandoned",2,"No cluster"
1251,"Never",1,"Clump"
1252,"Never",1,"Clump"
1253,"Abandoned",2,"No cluster"
494,"Never",1,"Cluster"
1254,"Continuous",4,"Clump"
1255,"Never",1,"Clump"
1256,"Continuous",4,"Clump"
1257,"Abandoned",2,"No cluster"
1258,"Abandoned",2,"No cluster"
1259,"Continuous",4,"Clump"
1260,"Never",1,"Clump"
1261,"Never",1,"No cluster"
1262,"Never",1,"Clump"
1263,"Continuous",4,"Clump"
1264,"Continuous",4,"Clump"
1265,"Transformed",3,"No cluster"
1266,"Never",1,"Clump"
1267,"Continuous",4,"Clump"
1268,"Abandoned",2,"No cluster"
1269,"Abandoned",2,"No cluster"
1270,"Never",1,"Clump"
1271,"Abandoned",2,"Clump"
1272,"Abandoned",2,"Clump"
1273,"Continuous",4,"Clump"
1274,"Abandoned",2,"Clump"
1275,"Continuous",4,"Clump"
1276,"Abandoned",2,"Clump"
1277,"Abandoned",2,"Clump"
1278,"Continuous",4,"Clump"
1279,"Continuous",4,"Clump"
1280,"Continuous",4,"Cluster"
1281,"Abandoned",2,"Clump"
1282,"Continuous",4,"Clump"
1283,"Never",1,"No cluster"
1284,"Continuous",4,"Clump"
1285,"Abandoned",2,"No cluster"
1286,"Abandoned",2,"Clump"
1287,"Abandoned",2,"Clump"
1288,"Abandoned",2,"Clump"
1289,"Abandoned",2,"No cluster"
1283,"Never",1,"Clump"
1290,"Never",1,"Clump"
1291,"Never",1,"Clump"
1292,"Abandoned",2,"No cluster"
1283,"Never",1,"Clump"
1293,"Abandoned",2,"Clump"
1294,"Abandoned",2,"Clump"
1295,"Abandoned",2,"Clump"
1296,"Abandoned",2,"Clump"
1297,"Abandoned",2,"Clump"
1298,"Abandoned",2,"Clump"
1299,"Never",1,"No cluster"
1300,"Abandoned",2,"Clump"
1301,"Abandoned",2,"Clump"
1302,"Abandoned",2,"Clump"
1303,"Abandoned",2,"Clump"
1304,"Abandoned",2,"Clump"
1305,"Abandoned",2,"Clump"
1306,"Abandoned",2,"Clump"
1307,"Continuous",4,"Clump"
1308,"Continuous",4,"Clump"
1309,"Continuous",4,"Clump"
1310,"Abandoned",2,"Clump"
1311,"Abandoned",2,"Clump"
1312,"Abandoned",2,"Clump"
1313,"Continuous",4,"Clump"
1314,"Continuous",4,"Clump"
1315,"Abandoned",2,"Clump"
1316,"Continuous",4,"Clump"
1317,"Abandoned",2,"No cluster"
1318,"Abandoned",2,"No cluster"
1319,"Never",1,"No cluster"
1320,"Abandoned",2,"Clump"
1321,"Abandoned",2,"No cluster"
1322,"Abandoned",2,"Clump"
1323,"Continuous",4,"Cluster"
1324,"Continuous",4,"Clump"
1325,"Abandoned",2,"No cluster"
1326,"Abandoned",2,"Clump"
1327,"Abandoned",2,"No cluster"
1328,"Continuous",4,"Cluster"
1329,"Continuous",4,"Clump"
1330,"Continuous",4,"Cluster"
1283,"Never",1,"No cluster"
1283,"Never",1,"No cluster"
1331,"Continuous",4,"Cluster"
1332,"Abandoned",2,"No cluster"
1333,"Continuous",4,"Cluster"
1334,"Never",1,"No cluster"
1283,"Never",1,"No cluster"
1335,"Abandoned",2,"Clump"
1336,"Continuous",4,"Cluster"
1337,"Continuous",4,"Cluster"
1338,"Abandoned",2,"Clump"
1283,"Never",1,"No cluster"
1339,"Continuous",4,"Clump"
1340,"Abandoned",2,"Clump"
1341,"Never",1,"No cluster"
1342,"Abandoned",2,"No cluster"
1343,"Transformed",3,"No cluster"
1344,"Abandoned",2,"No cluster"
1345,"Abandoned",2,"No cluster"
1346,"Abandoned",2,"No cluster"
1347,"Abandoned",2,"No cluster"
1348,"Abandoned",2,"No cluster"
1349,"Continuous",4,"Clump"
1350,"Continuous",4,"Clump"
1283,"Never",1,"No cluster"
1351,"Never",1,"No cluster"
1352,"Continuous",4,"Clump"
1353,"Abandoned",2,"No cluster"
1354,"Transformed",3,"No cluster"
1355,"Abandoned",2,"No cluster"
1356,"Transformed",3,"No cluster"
1357,"Continuous",4,"Clump"
1358,"Transformed",3,"No cluster"
1359,"Never",1,"Clump"
1360,"Transformed",3,"No cluster"
1361,"Never",1,"No cluster"
1362,"Abandoned",2,"No cluster"
1363,"Abandoned",2,"No cluster"
1283,"Never",1,"Clump"
1364,"Abandoned",2,"No cluster"
1365,"Continuous",4,"Clump"
1283,"Never",1,"Clump"
1283,"Never",1,"No cluster"
1283,"Never",1,"Clump"
1366,"Never",1,"Clump"
1367,"Abandoned",2,"No cluster"
1368,"Abandoned",2,"No cluster"
1369,"Abandoned",2,"No cluster"
1370,"Never",1,"Clump"
1371,"Continuous",4,"Clump"
1283,"Never",1,"Clump"
1372,"Never",1,"Clump"
1373,"Never",1,"Clump"
1374,"Abandoned",2,"No cluster"
1283,"Never",1,"Clump"
1375,"Abandoned",2,"Clump"
1376,"Abandoned",2,"Clump"
1283,"Never",1,"Clump"
1283,"Never",1,"Clump"
1283,"Never",1,"Clump"
1377,"Abandoned",2,"No cluster"
1378,"Never",1,"Clump"
1379,"Never",1,"Clump"
1283,"Never",1,"Clump"
1380,"Continuous",4,"Clump"
1381,"Never",1,"Clump"
1382,"Transformed",3,"No cluster"
1383,"Abandoned",2,"No cluster"
1283,"Never",1,"Clump"
1384,"Never",1,"Clump"
1385,"Never",1,"Clump"
1386,"Continuous",4,"Clump"
1387,"Continuous",4,"Clump"
1388,"Abandoned",2,"No cluster"
1389,"Abandoned",2,"No cluster"
1390,"Never",1,"Clump"
1391,"Never",1,"Clump"
1283,"Never",1,"Clump"
1283,"Never",1,"Clump"
1392,"Abandoned",2,"No cluster"
1283,"Never",1,"Clump"
1393,"Abandoned",2,"No cluster"
1394,"Continuous",4,"Clump"
1395,"Continuous",4,"Clump"
1396,"Continuous",4,"Clump"
1397,"Abandoned",2,"No cluster"
1398,"Abandoned",2,"No cluster"
1399,"Continuous",4,"Clump"
1400,"Abandoned",2,"No cluster"
1401,"Never",1,"Clump"
1402,"Abandoned",2,"No cluster"
1403,"Continuous",4,"Clump"
1404,"Transformed",3,"No cluster"
1283,"Never",1,"No cluster"
1283,"Never",1,"No cluster"
1283,"Never",1,"Clump"
1405,"Continuous",4,"Clump"
1406,"Continuous",4,"Clump"
1407,"Abandoned",2,"Clump"
1408,"Continuous",4,"Clump"
1409,"Abandoned",2,"Clump"
1410,"Continuous",4,"Clump"
1411,"Continuous",4,"Clump"
1412,"Continuous",4,"Clump"
1413,"Continuous",4,"Clump"
1414,"Never",1,"No cluster"
1415,"Abandoned",2,"No cluster"
1416,"Abandoned",2,"No cluster"
1417,"Never",1,"No cluster"
1418,"Never",1,"No cluster"
1419,"Never",1,"No cluster"
1420,"Abandoned",2,"Clump"
1421,"Abandoned",2,"No cluster"
1422,"Abandoned",2,"Clump"
1283,"Never",1,"No cluster"
1423,"Abandoned",2,"No cluster"
1424,"Continuous",4,"Clump"
1425,"Abandoned",2,"No cluster"
1426,"Abandoned",2,"No cluster"
1427,"Continuous",4,"Clump"
1428,"Abandoned",2,"Clump"
1429,"Abandoned",2,"Clump"
1430,"Abandoned",2,"No cluster"
1431,"Continuous",4,"Clump"
1432,"Abandoned",2,"No cluster"
1433,"Abandoned",2,"No cluster"
1434,"Never",1,"No cluster"
1435,"Never",1,"Clump"
1436,"Never",1,"No cluster"
1437,"Continuous",4,"No cluster"
1438,"Never",1,"No cluster"
1439,"Never",1,"No cluster"
1440,"Never",1,"Clump"
1441,"Never",1,"Clump"
1442,"Never",1,"Clump"
1442,"Never",1,"Clump"
1443,"Continuous",4,"Clump"
1442,"Never",1,"Clump"
1444,"Never",1,"Clump"
1445,"Continuous",4,"Clump"
1446,"Never",1,"Clump"
1447,"Abandoned",2,"No cluster"
1448,"Continuous",4,"Clump"
1449,"Never",1,"Clump"
1450,"Continuous",4,"Clump"
1451,"Continuous",4,"Clump"
1442,"Never",1,"Clump"
1452,"Never",1,"No cluster"
1453,"Continuous",4,"Clump"
1454,"Never",1,"Clump"
1455,"Continuous",4,"Clump"
1456,"Never",1,"Clump"
1442,"Never",1,"Clump"
1457,"Continuous",4,"Clump"
1442,"Never",1,"Clump"
1458,"Never",1,"Clump"
1459,"Continuous",4,"Clump"
1460,"Continuous",4,"Clump"
1442,"Never",1,"Clump"
1461,"Never",1,"Clump"
1442,"Never",1,"Clump"
1442,"Never",1,"No cluster"
1442,"Never",1,"Clump"
1442,"Never",1,"Clump"
1442,"Never",1,"Clump"
1442,"Never",1,"Clump"
1462,"Continuous",4,"Clump"
1463,"Transformed",3,"No cluster"
1464,"Abandoned",2,"No cluster"
1465,"Never",1,"Clump"
1466,"Continuous",4,"Clump"
1467,"Continuous",4,"Clump"
1468,"Abandoned",2,"No cluster"
1469,"Transformed",3,"No cluster"
1442,"Never",1,"Clump"
1470,"Abandoned",2,"No cluster"
1471,"Abandoned",2,"No cluster"
1472,"Continuous",4,"Clump"
1473,"Continuous",4,"Clump"
1442,"Never",1,"Clump"
1474,"Continuous",4,"Clump"
1475,"Continuous",4,"Clump"
1476,"Never",1,"Clump"
1477,"Never",1,"No cluster"
1478,"Transformed",3,"No cluster"
1479,"Never",1,"No cluster"
1480,"Never",1,"Clump"
1442,"Never",1,"Clump"
1481,"Never",1,"Clump"
1442,"Never",1,"No cluster"
1482,"Abandoned",2,"No cluster"
1483,"Continuous",4,"Clump"
1484,"Abandoned",2,"No cluster"
1442,"Never",1,"No cluster"
1485,"Continuous",4,"Clump"
1486,"Never",1,"Clump"
1487,"Abandoned",2,"No cluster"
1488,"Continuous",4,"Clump"
1489,"Never",1,"Clump"
1490,"Never",1,"Clump"
1491,"Never",1,"Clump"
1492,"Abandoned",2,"No cluster"
1493,"Continuous",4,"Clump"
1494,"Continuous",4,"Clump"
1495,"Continuous",4,"Clump"
1496,"Abandoned",2,"No cluster"
1497,"Transformed",3,"No cluster"
1498,"Continuous",4,"Clump"
1499,"Transformed",3,"No cluster"
1500,"Continuous",4,"Clump"
1501,"Continuous",4,"Clump"
1502,"Never",1,"Clump"
1442,"Never",1,"Clump"
1503,"Continuous",4,"Clump"
1504,"Abandoned",2,"No cluster"
1505,"Transformed",3,"No cluster"
1506,"Transformed",3,"No cluster"
1442,"Never",1,"Clump"
1507,"Never",1,"Clump"
1508,"Transformed",3,"No cluster"
1509,"Continuous",4,"Clump"
1442,"Never",1,"Clump"
1510,"Abandoned",2,"No cluster"
1442,"Never",1,"Clump"
1442,"Never",1,"Clump"
1511,"Never",1,"Clump"
1442,"Never",1,"Clump"
1512,"Continuous",4,"Clump"
1442,"Never",1,"Clump"
1442,"Never",1,"Clump"
1513,"Continuous",4,"Clump"
1514,"Never",1,"Clump"
1442,"Never",1,"Clump"
1515,"Never",1,"Clump"
1516,"Never",1,"Clump"
1442,"Never",1,"Clump"
1517,"Never",1,"Clump"
1518,"Never",1,"Clump"
1442,"Never",1,"Clump"
1519,"Never",1,"Clump"
1520,"Abandoned",2,"No cluster"
1442,"Never",1,"Clump"
1521,"Abandoned",2,"No cluster"
1522,"Abandoned",2,"No cluster"
1523,"Continuous",4,"Clump"
1524,"Never",1,"Clump"
1525,"Never",1,"Clump"
1526,"Never",1,"Clump"
1527,"Transformed",3,"No cluster"
1528,"Continuous",4,"Clump"
1529,"Never",1,"Clump"
1530,"Never",1,"Clump"
1531,"Abandoned",2,"No cluster"
1532,"Never",1,"Clump"
1442,"Never",1,"Clump"
1533,"Never",1,"Clump"
1534,"Continuous",4,"Clump"
1535,"Continuous",4,"Cluster"
1536,"Continuous",4,"Cluster"
1537,"Never",1,"Clump"
1538,"Continuous",4,"Clump"
1539,"Abandoned",2,"No cluster"
1540,"Abandoned",2,"No cluster"
1541,"Abandoned",2,"No cluster"
1542,"Continuous",4,"Clump"
1543,"Never",1,"Clump"
1544,"Never",1,"Clump"
1545,"Continuous",4,"Clump"
1546,"Never",1,"Clump"
1547,"Abandoned",2,"No cluster"
1442,"Never",1,"Clump"
1548,"Never",1,"Clump"
1549,"Never",1,"Clump"
1550,"Never",1,"Clump"
1551,"Abandoned",2,"No cluster"
1442,"Never",1,"Clump"
1552,"Abandoned",2,"No cluster"
1442,"Never",1,"Clump"
1442,"Never",1,"Clump"
1553,"Continuous",4,"No cluster"
1554,"Abandoned",2,"No cluster"
1555,"Continuous",4,"Clump"
1556,"Continuous",4,"Clump"
1557,"Abandoned",2,"No cluster"
1558,"Abandoned",2,"No cluster"
1559,"Continuous",4,"Clump"
1442,"Never",1,"Clump"
1560,"Abandoned",2,"No cluster"
1561,"Abandoned",2,"No cluster"
1442,"Never",1,"Clump"
1562,"Never",1,"Clump"
1563,"Never",1,"Clump"
1564,"Continuous",4,"Clump"
1565,"Never",1,"Clump"
1566,"Abandoned",2,"No cluster"
1567,"Abandoned",2,"No cluster"
1442,"Never",1,"Clump"
1568,"Continuous",4,"Clump"
1442,"Never",1,"Clump"
1569,"Abandoned",2,"No cluster"
1570,"Abandoned",2,"No cluster"
1571,"Continuous",4,"Clump"
1572,"Abandoned",2,"No cluster"
1573,"Abandoned",2,"No cluster"
1574,"Continuous",4,"Clump"
1575,"Abandoned",2,"No cluster"
1442,"Never",1,"Cluster"
1442,"Never",1,"Cluster"
1576,"Abandoned",2,"No cluster"
1577,"Continuous",4,"Clump"
1578,"Transformed",3,"No cluster"
1579,"Transformed",3,"No cluster"
1580,"Continuous",4,"Clump"
1581,"Continuous",4,"Clump"
1582,"Continuous",4,"Clump"
1583,"Continuous",4,"Clump"
1442,"Never",1,"Clump"
1584,"Never",1,"Clump"
1585,"Continuous",4,"Clump"
1586,"Continuous",4,"Clump"
1587,"Transformed",3,"Outlier"
1588,"Continuous",4,"Clump"
1589,"Continuous",4,"Clump"
1590,"Continuous",4,"Clump"
1591,"Transformed",3,"No cluster"
1592,"Continuous",4,"Clump"
1593,"Transformed",3,"No cluster"
1594,"Continuous",4,"Clump"
1595,"Transformed",3,"No cluster"
1596,"Transformed",3,"No cluster"
1597,"Transformed",3,"No cluster"
1598,"Transformed",3,"No cluster"
1599,"Continuous",4,"Clump"
1600,"Continuous",4,"Clump"
1601,"Never",1,"No cluster"
1442,"Never",1,"Clump"
1602,"Never",1,"Clump"
1603,"Continuous",4,"Clump"
1604,"Never",1,"Clump"
1605,"Never",1,"Clump"
1606,"Abandoned",2,"No cluster"
1607,"Continuous",4,"Clump"
1608,"Continuous",4,"Cluster"
1609,"Transformed",3,"No cluster"
1610,"Continuous",4,"Clump"
1611,"Transformed",3,"No cluster"
1612,"Transformed",3,"No cluster"
1613,"Never",1,"Clump"
1614,"Never",1,"Clump"
1615,"Continuous",4,"Clump"
1616,"Continuous",4,"Clump"
1617,"Continuous",4,"Clump"
1618,"Never",1,"Clump"
1619,"Never",1,"Clump"
1620,"Never",1,"Clump"
1621,"Continuous",4,"Clump"
1139,"Continuous",4,"Clump"
1138,"Abandoned",2,"No cluster"
1137,"Continuous",4,"Clump"
1134,"Abandoned",2,"No cluster"
1135,"Abandoned",2,"No cluster"
1622,"Continuous",4,"Clump"
1623,"Continuous",4,"Clump"
1624,"Abandoned",2,"Clump"
1625,"Never",1,"No cluster"
1626,"Continuous",4,"Cluster"
1627,"Never",1,"Clump"
1628,"Continuous",4,"Clump"
1629,"Never",1,"Clump"
1630,"Continuous",4,"Clump"
1631,"Never",1,"No cluster"
1632,"Never",1,"Clump"
1633,"Never",1,"Clump"
1283,"Never",1,"Clump"
1634,"Continuous",4,"No cluster"
1635,"Abandoned",2,"Clump"
1636,"Continuous",4,"Cluster"
1637,"Continuous",4,"Cluster"
1638,"Abandoned",2,"No cluster"
1639,"Transformed",3,"No cluster"
1640,"Continuous",4,"Clump"
1641,"Continuous",4,"Clump"
1642,"Continuous",4,"Clump"
1643,"Never",1,"Clump"
1644,"Never",1,"Clump"
1645,"Continuous",4,"Clump"
1646,"Never",1,"Clump"
1647,"Abandoned",2,"No cluster"
1648,"Continuous",4,"Clump"
1649,"Continuous",4,"Clump"
1650,"Transformed",3,"No cluster"
1651,"Transformed",3,"No cluster"
1652,"Never",1,"Clump"
1653,"Continuous",4,"Clump"
1654,"Continuous",4,"Clump"
1655,"Continuous",4,"Clump"
1656,"Continuous",4,"Clump"
1657,"Continuous",4,"Clump"
1658,"Continuous",4,"Clump"
1659,"Abandoned",2,"No cluster"
1660,"Never",1,"Clump"
1661,"Never",1,"Clump"
1442,"Never",1,"Clump"
1662,"Continuous",4,"Clump"
1663,"Abandoned",2,"No cluster"
1664,"Continuous",4,"Clump"
1665,"Continuous",4,"Clump"
1666,"Continuous",4,"Clump"
