"ID","NATC","NATC_ID","Type"
481,"Never",1,"No cluster"
482,"Never",1,"No cluster"
484,"Transformed",3,"No cluster"
485,"Never",1,"Clump"
486,"Never",1,"Clump"
487,"Never",1,"Clump"
488,"Never",1,"No cluster"
489,"Abandoned",2,"No cluster"
490,"Continuous",4,"Clump"
491,"Abandoned",2,"No cluster"
492,"Abandoned",2,"No cluster"
493,"Abandoned",2,"No cluster"
494,"Never",1,"Clump"
494,"Never",1,"Clump"
494,"Never",1,"Clump"
494,"Never",1,"No cluster"
494,"Never",1,"Clump"
495,"Never",1,"Clump"
496,"Continuous",4,"Clump"
497,"Never",1,"Clump"
498,"Never",1,"Clump"
498,"Never",1,"Clump"
499,"Never",1,"Clump"
500,"Never",1,"Clump"
501,"Never",1,"Clump"
502,"Never",1,"Clump"
503,"Never",1,"Clump"
504,"Never",1,"Clump"
498,"Never",1,"Clump"
505,"Never",1,"Clump"
498,"Never",1,"Clump"
498,"Never",1,"No cluster"
506,"Never",1,"Clump"
507,"Continuous",4,"Clump"
508,"Abandoned",2,"No cluster"
498,"Never",1,"Clump"
509,"Never",1,"Clump"
510,"Never",1,"Clump"
498,"Never",1,"No cluster"
498,"Never",1,"Clump"
498,"Never",1,"Clump"
498,"Never",1,"No cluster"
511,"Never",1,"No cluster"
512,"Abandoned",2,"No cluster"
513,"Never",1,"No cluster"
498,"Never",1,"No cluster"
514,"Never",1,"Clump"
498,"Never",1,"Clump"
515,"Never",1,"Clump"
516,"Abandoned",2,"No cluster"
498,"Never",1,"Clump"
498,"Never",1,"Clump"
498,"Never",1,"Clump"
498,"Never",1,"Clump"
498,"Never",1,"Clump"
498,"Never",1,"Clump"
517,"Never",1,"Clump"
518,"Never",1,"No cluster"
519,"Never",1,"Clump"
520,"Never",1,"Clump"
521,"Never",1,"Clump"
522,"Never",1,"Clump"
523,"Continuous",4,"No cluster"
524,"Never",1,"Clump"
525,"Never",1,"Clump"
526,"Transformed",3,"No cluster"
527,"Never",1,"Clump"
527,"Never",1,"Clump"
528,"Never",1,"Clump"
529,"Transformed",3,"No cluster"
530,"Never",1,"Clump"
531,"Continuous",4,"Clump"
532,"Transformed",3,"No cluster"
533,"Continuous",4,"Clump"
534,"Never",1,"No cluster"
535,"Never",1,"Clump"
483,"Never",1,"Clump"
536,"Never",1,"No cluster"
537,"Continuous",4,"Cluster"
538,"Never",1,"Clump"
539,"Never",1,"Clump"
540,"Never",1,"Clump"
541,"Never",1,"Clump"
542,"Abandoned",2,"No cluster"
543,"Abandoned",2,"No cluster"
544,"Abandoned",2,"No cluster"
545,"Never",1,"Clump"
546,"Abandoned",2,"No cluster"
547,"Abandoned",2,"No cluster"
548,"Abandoned",2,"No cluster"
549,"Abandoned",2,"No cluster"
550,"Abandoned",2,"No cluster"
551,"Never",1,"No cluster"
552,"Abandoned",2,"No cluster"
553,"Abandoned",2,"Dispersed"
498,"Never",1,"Clump"
498,"Never",1,"No cluster"
554,"Never",1,"No cluster"
555,"Never",1,"No cluster"
498,"Never",1,"No cluster"
556,"Abandoned",2,"Dispersed"
498,"Never",1,"Clump"
498,"Never",1,"No cluster"
557,"Never",1,"Clump"
558,"Never",1,"Clump"
558,"Never",1,"Clump"
559,"Never",1,"Clump"
560,"Never",1,"Clump"
561,"Transformed",3,"No cluster"
562,"Abandoned",2,"No cluster"
498,"Never",1,"Clump"
498,"Never",1,"Clump"
563,"Abandoned",2,"No cluster"
564,"Continuous",4,"Clump"
565,"Never",1,"Clump"
566,"Continuous",4,"Clump"
567,"Never",1,"Clump"
568,"Never",1,"Clump"
569,"Abandoned",2,"No cluster"
570,"Continuous",4,"Clump"
